gene_id,gene,baseMean,log2FC,padj,log2FC_paired,padj_paired,hallmark_pathways
ENSG00000253898.1,LINC01419,380.1343059933542,11.832281927589664,4.351334128897658e-40,11.313980512413355,0.000487222962659,
ENSG00000253508.1,AC004080.2,11.805035679418085,10.78572423284721,2.1808321680759577e-19,9.90722615632556,2.596301997432604e-06,
ENSG00000096088.16,PGC,1292.0624516508335,10.613274010061009,4.822793490769444e-51,4.374926765858232,2.4347485176662625e-05,
ENSG00000115386.6,REG1A,996.7524894417584,10.34565232499853,1.4756049028295738e-32,4.220401603276825,0.0001300881247244,
ENSG00000172016.16,REG3A,4113.989935022979,10.246390190152296,2.5603576030342476e-39,4.937995764065487,1.027450687831516e-13,
ENSG00000285711.1,LINC02835,23.193435470148152,9.59124225155748,1.4269859155241356e-23,10.2435618624379,0.0004781464013108,
ENSG00000122133.17,PAEP,124.27959475591864,9.55319584588232,1.8307697420005428e-25,9.317914409358444,0.0054107446252239,
ENSG00000139219.19,COL2A1,340.66442324759936,9.30163809130567,4.913166389043162e-37,1.8358267292375845,1.959438692791461e-06,
ENSG00000198681.7,MAGEA1,365.0293699685048,9.206929903311488,5.491832840735746e-52,8.790485611902678,5.232180780906778e-13,
ENSG00000145920.15,CPLX2,2396.833916259258,9.174395809417188,3.9516836037103575e-61,8.321672396108948,2.249460208573669e-19,
ENSG00000254338.1,MAFA-AS1,12.74221243192052,9.025435316509574,4.800344170255704e-17,6.732505914219068,0.0086405142715709,
ENSG00000126752.8,SSX1,379.3354836808064,8.790279883996417,1.0238728281847505e-37,9.972345058385017,0.0098433179957511,
ENSG00000164362.21,TERT,219.27037050397223,8.753766112549464,1.956746574238766e-62,6.222045909110449,1.916102551143394e-18,
ENSG00000046774.10,MAGEC2,355.2652931345777,8.589247481756772,8.015267943972258e-39,8.331561051351192,0.0021754835220556,
ENSG00000206557.6,TRIM71,348.7743379554808,8.582275573326958,1.4880529735130042e-56,5.893551141067055,2.946516063784917e-09,
ENSG00000101951.17,PAGE4,430.6704890912887,8.509061266989427,6.137820121414824e-31,3.255113374841907,9.161871971102875e-08,
ENSG00000163295.5,ALPI,78.88517596003705,8.42925516976321,2.7570849064642063e-20,1.6943382857185725,1.0304594724486977e-05,
ENSG00000234722.5,LINC01287,426.2747081910038,8.40255639901902,5.163767522597695e-36,6.850865190371438,0.0018373365966173,
ENSG00000154342.6,WNT3A,26.1321662038613,8.190223701224582,7.804813232708684e-21,8.129441285531504,0.0003156696594549,
ENSG00000225546.6,LINC02476,51.40128490758794,8.12355002558644,8.423492874241419e-28,7.930765275345123,0.0198284141557851,
ENSG00000142619.4,PADI3,12.70146065228396,8.06528250784136,3.338311828667319e-13,2.303458010720137,0.0005363518698417,
ENSG00000121075.11,TBX4,42.83368027865241,8.045523179597295,1.6769951498390581e-29,5.7174176014535485,0.0006908801235445,
ENSG00000197172.10,MAGEA6,335.4364611528517,7.982113009986801,9.162285863750064e-26,7.567188802628736,0.0228204027041087,
ENSG00000168955.4,TM4SF20,304.5632244452849,7.957185052851332,3.596399914923672e-34,3.095443281524364,3.295831786736164e-05,
ENSG00000225548.7,LINC01980,72.18031056586113,7.758811391979474,8.143793298415819e-29,6.513221195308093,0.0030035532431814,
ENSG00000251629.7,LINC02241,67.47886036923482,7.736149681914437,1.0064545553083031e-30,6.461002559324324,0.002440625013811,
