Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,E2F Targets,0.6870937217394941,2.7753598938209962,0.0,0.0,0.0,106/199,12.45%,CDKN3;UBE2T;KIF4A;BIRC5;CCNB2;CDC20;MELK;SPC24;MXD3;KIF2C;TOP2A;KIF18B;PTTG1;MYBL2;CDK1;DLGAP5;CDCA3;CDCA8;PLK1;HMMR;AURKB;TRIP13;MKI67;DEPDC1;RACGAP1;CDKN2A;RRM2;EZH2;SPC25;CENPM;CENPE;AURKA;BUB1B;E2F8;TCF19;ASF1B;DIAPH3;ORC6;GINS1;DSCC1;STMN1;CCNE1;CDKN2C;TK1;MAD2L1;CHEK1;HELLS;MSH2;MCM6;PRIM2;PLK4;RAD51AP1;TACC3;ILF3;MCM3;DDX39A;UBE2S;MCM4;KPNA2;POLD1;ATAD2;LIG1;MCM7;CKS1B;MCM5;CDC25A;NCAPD2;MCM2;KIF22;GINS3;HMGA1;TUBG1;HMGB2;PSMC3IP;POLA2;H2AX;H2AZ1;PCNA;DNMT1;SNRPB;DONSON;CKS2;SPAG5;GINS4;JPT1;BRCA2;SUV39H1;RFC3;BARD1;MMS22L;NME1;RAD1;NUP107;EED;CSE1L;DCLRE1B;XPO1;NOP56;LMNB1;SLBP;RBBP7;TIPIN;TIMELESS;DUT;CDC25B;PRKDC
prerank,G2-M Checkpoint,0.6539788793079088,2.660498285021628,0.0,0.0,0.0,82/199,7.88%,CDKN3;CENPF;TROAP;KIF4A;BIRC5;NEK2;CCNB2;CDC20;KIF2C;TOP2A;UBE2C;PTTG1;NDC80;EXO1;MYBL2;CDK1;BUB1;CENPA;E2F1;TTK;PLK1;HMMR;AURKB;MKI67;RACGAP1;EZH2;CDC6;CENPE;AURKA;TRAIP;PBK;KIF23;CDC45;CCNA2;KIF15;UCK2;CCNF;E2F2;ORC6;POLQ;STIL;STMN1;CDKN2C;RAD54L;MAD2L1;KIF11;CHEK1;MCM6;PRIM2;PLK4;TACC3;CHAF1A;ILF3;MCM3;CDC7;DDX39A;UBE2S;TPX2;KPNA2;DTYMK;CKS1B;MCM5;CDC25A;MCM2;KIF22;GINS2;HMGA1;NSD2;POLA2;H2AX;H2AZ1;INCENP;CBX1;EGF;RBL1;CKS2;PRC1;JPT1;BRCA2;SUV39H1;BARD1;SQLE
prerank,Mitotic Spindle,0.4504364845662011,1.8436210857223283,0.0,0.00015368709307849221,0.001,53/198,13.71%,CENPF;KIF4A;BIRC5;NEK2;CCNB2;KIF2C;TOP2A;NDC80;CDK1;BUB1;DLGAP5;TTK;ANLN;PLK1;RACGAP1;CENPE;AURKA;KIF23;KIF15;CEP131;PIF1;ECT2;KIF11;CEP250;KNTC1;TPX2;ARHGEF11;KIF22;CENPJ;MARK4;TAOK2;SAC3D1;CEP72;INCENP;SPTAN1;TSC1;PRC1;PLEKHG2;BRCA2;SASS6;LLGL1;LMNB1;CSNK1D;WASF2;KIF20B;MYO9B;RHOF;CYTH2;CTTN;KATNB1;CDK5RAP2;ARHGEF2;SMC4
prerank,Spermatogenesis,0.4742396859087964,1.8084632713918418,0.0,0.00023053063961773828,0.002,33/102,18.13%,CDKN3;NEK2;CCNB2;KIF2C;CDK1;BUB1;TTK;EZH2;AURKA;NCAPH;RFC4;IP6K1;SLC2A5;MAST2;GAD1;PGS1;CLVS1;TUBA3C;PARP2;DBF4;DMC1;TOPBP1;NF2;OAZ3;CNIH2;NAA11;PCSK1N;ACE;RPL39L;ELOVL3;DCC;ACRV1;YBX2
prerank,Myc Targets V1,0.38864111047078764,1.560472294059313,0.0,0.013278564841981725,0.135,98/200,34.98%,CDC20;CDC45;CCNA2;RFC4;MAD2L1;MCM6;CAD;ILF2;CCT3;MCM4;KPNA2;MCM7;MCM5;MCM2;HSP90AB1;H2AZ1;PCNA;EPRS1;TYMS;CSTF2;NHP2;RPS10;NME1;PPM1G;MRPL9;CBX3;LSM2;XPO1;RRP9;PPIA;NOP56;PSMC4;BUB3;DUT;COPS5;TRIM28;PABPC1;HNRNPA1;IMPDH2;CCT5;NPM1;SNRPD2;SNRPA;VBP1;RRM1;SNRPD1;IARS1;PSMD14;SRPK1;PTGES3;SNRPA1;SRM;HNRNPU;FBL;EIF3B;RAN;PSMA6;CDK4;KPNB1;CCT4;NCBP2;EIF3D;PA2G4;SMARCC1;CCT2;RPS5;XPOT;NAP1L1;CYC1;HNRNPA3;RUVBL2;APEX1;TXNL4A;CANX;LSM7;PSMA1;PRPF31;XRCC6;PHB;IFRD1;RPLP0;PWP1;SSB;PSMD3;USP1;RNPS1;HNRNPR;EIF2S2;SSBP1;RPL14;RPS3;SNRPB2;CCT7;HNRNPC;RPL6;RPS2;PSMD1;HNRNPA2B1
prerank,Wnt-beta Catenin Signaling,0.45048482568093434,1.5202258141464262,0.0265282583621684,0.01752032861094811,0.207,17/41,24.05%,KAT2A;HDAC11;DKK1;LEF1;JAG2;DVL2;NKD1;HEY1;DKK4;CSNK1E;AXIN2;NCOR2;HDAC5;WNT6;MAML1;PSEN2;NCSTN
prerank,Myc Targets V2,0.40292877754472745,1.4364703028600379,0.030803080308030802,0.03859741566171275,0.437,28/58,31.95%,PLK1;PLK4;MCM4;TCOF1;MCM5;PRMT3;CBX3;RRP9;NOP56;NPM1;SRM;SLC29A2;PUS1;CDK4;DCTPP1;EXOSC5;LAS1L;RRP12;PA2G4;HK2;BYSL;IPO4;PHB;NOP2;PES1;TBRG4;UTP20;MRTO4
prerank,DNA Repair,0.3346075945380307,1.3281778267071824,0.030991735537190084,0.11612980970743567,0.852,62/147,32.30%,ZWINT;RFC4;RAD51;FEN1;NELFE;POLD1;LIG1;ZNF707;ADCY6;POLA2;SAC3D1;PCNA;UPF3B;CCNO;POLR2K;TYMS;CANT1;RFC3;NME1;PRIM1;POLR2G;POLA1;TAF6;DUT;TAF10;BCAP31;IMPDH2;VPS28;RAE1;ADA;POLR3C;ALYREF;AAAS;TAF9;ITPA;CETN2;NCBP2;RFC5;SUPT5H;NELFB;POLD3;BCAM;NME3;ERCC2;ERCC3;RALA;NELFCD;NT5C;GTF3C5;RFC2;SEC61A1;POLR2H;POLR1C;SSRP1;GUK1;RAD52;POLL;DAD1;DDB1;NT5C3A;MPC2;POLH
prerank,Apical Junction,0.3242135281257802,1.3135059530884083,0.024365482233502538,0.1225910712456106,0.899,49/191,19.70%,CD34;MDK;THY1;COL9A1;WNK4;ADAM15;ACTN2;TUBG1;SLC30A3;TAOK2;PPP2R2C;TSC1;CDH8;FLNC;PLCG1;ACTG2;ITGA2;NECTIN1;LAMA3;CLDN15;MAPK11;MPZL1;VWF;ALOX15B;ADAM23;THBS3;NF2;SHC1;MAP4K2;HRAS;AMH;RHOF;PTK2;INPPL1;CTNNA1;ICAM5;STX4;CLDN19;CLDN18;KCNH2;ITGB4;VCAN;PBX2;SRC;MMP9;CDH11;TMEM8B;PIK3R3;MAPK13
prerank,Glycolysis,0.2727256546127546,1.1136239864683521,0.2383838383838384,0.5888674658395506,1.0,58/193,25.38%,GPC3;KIF20A;CDK1;CENPA;HMMR;DEPDC1;AURKA;STMN1;G6PD;ANKZF1;PYGB;EFNA3;MIOX;P4HA2;IDUA;PKM;STC2;B4GALT7;KIF2A;RBCK1;GAL3ST1;PPIA;PSMC4;ARTN;MED24;PPFIA4;ALDOA;CHST6;COG2;CLN6;SPAG4;HS6ST2;XYLT2;SLC16A3;ABCB6;GNPDA1;BIK;CHST1;VCAN;RRAGD;AGRN;B3GNT3;PFKP;HAX1;NOL3;DPYSL4;RARS1;NASP;STC1;TXN;B3GAT3;SAP30;KDELR3;HK2;POLR3K;VLDLR;EGLN3;SOX9
