Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,direction,n_hits
gs_ind_0,Biological Oxidations R-HSA-211859,51/199,3.9209860830448794e-20,4.097430456781899e-17,5.9262777854268975,264.8178485141723,CYP4F2;GLYAT;AOC1;SLC35D1;CYP2A6;UGP2;ALDH2;CYP4V2;ACSM5;GSTZ1;CYP4A22;CYP1A2;NNMT;UGT2B10;SULT1A1;ADH1C;GLYATL1;ACSM2A;ADH1B;UGT2A1;CYP3A4;MAT1A;CYP39A1;CYP8B1;CYP2E1;UGT2B7;GSTM1;GSTA2;CYP2J2;GSTM5;CYP2B6;ALDH1B1;ADH6;UGT1A1;SULT2A1;GGT5;CYP2C18;FMO3;CYP4A11;SULT1E1;CYP2C19;CYP26A1;GLYATL3;CMBL;AKR7A3;PTGIS;CES3;CYP2C9;CYP3A43;CYP2C8;ADH1A,down in tumor,51
gs_ind_0,Drug ADME R-HSA-9748784,30/88,4.2359275487450943e-16,2.2132721442193116e-13,8.795510304645505,311.34135548838805,GLYAT;PCK1;PON3;BCHE;ACSM5;SLCO1B3;UGT2B10;SULT1A1;ALB;GLYATL1;ACSM2A;UGT2A1;CYP3A4;SLC22A1;SLCO1B1;UGT2B7;CYP2E1;GSTM1;GSTA2;UGT1A1;SULT2A1;GGT5;CYP2C19;SULT1E1;GLYATL3;CYP2C9;CYP2C8;ADH1A;XDH;PON1,down in tumor,30
gs_ind_0,Phase I - Functionalization Of Compounds R-HSA-211945,29/95,3.519618146065575e-14,1.2260003208795087e-11,7.474767039302109,231.55212840673747,CYP4F2;AOC1;CYP2A6;ALDH2;CYP4V2;CYP4A22;CYP1A2;ADH1C;ADH1B;CYP3A4;CYP39A1;CYP8B1;CYP2E1;CYP2J2;CYP2B6;ALDH1B1;ADH6;CYP2C18;FMO3;CYP4A11;CYP2C19;CYP26A1;CMBL;PTGIS;CES3;CYP2C9;CYP3A43;CYP2C8;ADH1A,down in tumor,29
gs_ind_0,Complement Cascade R-HSA-166658,21/54,5.547538758374532e-13,1.4492945006253464e-10,10.761446696385065,303.6907360045035,FCN1;C8A;FCN3;C1S;COLEC10;CFI;COLEC11;CD81;MBL2;C1R;C8B;CR1;MASP1;C1QB;C5AR1;CFHR3;FCN2;C1QC;CPB2;PROS1;SERPING1,down in tumor,21
gs_ind_0,Metabolism Of Amino Acids And Derivatives R-HSA-71291,55/347,5.446760041154915e-12,1.0854370937250027e-09,3.23051632715951,83.78667201651172,ALDH6A1;ACADSB;AGXT2;AGMAT;ASPA;GSTZ1;LDHD;SARDH;ASS1;DHTKD1;NNMT;HOGA1;ASPG;FOLH1;SHMT1;PHGDH;HAO1;GATM;IVD;ECHS1;KMO;BBOX1;PRODH2;PSAT1;SLC6A12;MAT1A;IDO2;GCDH;PPM1K;UROC1;GRHPR;DMGDH;HAAO;AADAT;GOT2;AGXT;GNMT;INMT;GLS2;GLUD1;TH;PEMT;DBH;BCKDHB;BHMT;FAH;RIDA;TDO2;FTCD;DAO;QDPR;AMDHD1;ALDH4A1;OTC;IYD,down in tumor,55
gs_ind_0,Creation Of C4 And C2 Activators R-HSA-166786,11/14,6.2321747008134126e-12,1.0854370937250027e-09,54.73256411721026,1412.1710753061755,FCN1;MASP1;FCN3;COLEC11;C1QB;C1QC;C1S;COLEC10;MBL2;C1R;FCN2,down in tumor,11
gs_ind_0,Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782,17/40,1.6512376580779287e-11,2.4650619324163363e-09,12.452535838540642,309.1579979965179,JCHAIN;HBA1;STAB2;MASP1;CD163;COLEC11;SCARA5;STAB1;SSC5D;APOL1;HPX;APOA1;MARCO;DLC1;AMBP;ALB;SAA2,down in tumor,17
gs_ind_0,Fatty Acid Metabolism R-HSA-8978868,34/162,3.0390219902948684e-11,3.969722474822672e-09,4.5287692076045865,109.67275225997595,CYP4F2;ACAD11;THRSP;ACADM;PON3;ACAA1;ACAA2;EHHADH;CYP4A22;CYP1A2;ACOT12;ECHS1;SLC27A2;CYP8B1;CYP2J2;ACSL1;MLYCD;EPHX2;ACOX2;ACSM3;GGT5;CYP4A11;CYP2C19;PTGS2;CYP2C8;CYP2C9;CBR4;MMUT;PTGIS;HAO2;ACADS;ACADL;CPT2;PON1,down in tumor,34
gs_ind_0,Metabolism Of Lipids R-HSA-556833,82/681,1.1662069107664777e-10,1.1867607719848622e-08,2.360800525802023,53.9964524957885,ACAD11;THRSP;BCHE;SLC27A5;EHHADH;SLCO1B3;MOGAT2;GPD1;CYP2J2;PITPNM3;EPHX2;AGXT;HMGCL;GGT5;PIK3C2G;PLIN2;PLAAT3;MMUT;ACACB;SRD5A2;ACADL;CPT2;SGMS2;ACAA1;LPIN2;FHL2;ALB;SLCO1B1;MLYCD;HMGCLL1;ACOX2;PNPLA7;PLPP3;SEC24B;CBR4;HAO2;AKR1D1;CYP4F2;HMGCS2;SRD5A1;CYP4A22;CYP1A2;ACOT12;BDH2;CYP3A4;CYP39A1;CYP8B1;CYP2E1;ACSM3;STARD5;PEMT;GC;NCOR1;ACADS;ALAS1;CYP2C9;CYP2C8;PON1;PON3;GPAT3;ACAA2;HSD17B13;PHOSPHO1;G0S2;APOA5;ECHS1;SLC10A1;MFSD2A;SMPD3;SLC27A2;ACSL1;SULT2A1;PPARGC1A;CYP4A11;CYP2C19;PTGS2;PTGIS;GBA3;FITM1;PLIN1;ACADM;APOA1,down in tumor,82
gs_ind_0,Aspirin ADME R-HSA-9749641,16/39,1.2492218652472233e-10,1.1867607719848622e-08,11.73153565602125,267.51807991267304,GLYATL3;GLYAT;GLYATL1;ACSM2A;ACSM5;BCHE;UGT2A1;UGT1A1;CYP3A4;CYP2C19;UGT2B7;CYP2E1;CYP2C9;UGT2B10;CYP2C8;ALB,down in tumor,16
