Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,direction,n_hits
gs_ind_0,Cell Cycle Checkpoints R-HSA-69620,71/255,2.821573915298063e-20,1.601243196931651e-17,4.395591209373523,197.86493172472703,CCNA2;CENPL;CENPE;CDKN2A;GTSE1;CDC45;CHEK1;H2BC9;EXO1;UBE2S;CENPK;SPDL1;AURKB;CCNE1;MCM6;H2BC11;CENPF;MAD2L1;SGO1;CDK1;ERCC6L;BIRC5;SPC24;INCENP;DSN1;SKA1;BLM;CENPI;H2BC15;CENPH;CENPA;H2BC17;CDCA8;CDC20;ORC6;MCM3;RMI2;SPC25;MCM5;NUF2;CCNB1;BUB1;CENPM;ARTN;MCM8;ZWINT;CCNE2;CDC6;MCM10;KNTC1;CDC25C;CLSPN;MCM4;MCM7;UBE2C;KIF2C;CDC7;CCNB2;PKMYT1;PLK1;SGO2;RFC4;NDC80;CDC25A;CENPU;CENPO;DYNC1I1;KIF18A;BRIP1;BUB1B;H2AX,up in tumor,71
gs_ind_0,Cell Cycle R-HSA-1640170,124/620,1.7904495880157975e-20,1.601243196931651e-17,2.886424898554372,131.24353232551388,PRDM9;CDKN2A;CENPE;FBXL18;H2BC9;TK1;DSCC1;CENPK;CCNE1;RBL1;MAD2L1;CDK1;SGO1;TERT;H2BC17;GMNN;CENPA;KIF20A;POLA2;HJURP;PSMC3IP;PLK4;BUB1;KIF23;ZWINT;CCNE2;CDC6;KNTC1;MSH5;CDC25C;CLSPN;MCM4;POLD1;CCNB2;DYNC1I1;CDC45;CHEK1;EXO1;DSN1;CEP131;BLM;CENPI;H2BC15;CDCA8;RMI2;NEK2;TUBA3C;ESPL1;PIF1;FOXM1;NCAPH;CCNB1;PRIM2;PTTG1;CENPM;ARTN;TOP2A;CDCA5;MCM7;CHTF18;PLK1;SGO2;CDC25A;CENPU;CENPO;BUB1B;OIP5;CENPW;CENPL;E2F1;TPX2;SPDL1;AURKB;NCAPG;MCM6;CENPF;ERCC6L;ESCO2;INCENP;SKA1;CENPH;ORC6;CDC20;LIN9;AURKA;TYMS;MCM3;CDKN2C;MCM5;NUF2;RRM2;NCAPD2;CDT1;MCM10;UBE2C;KIF2C;PKMYT1;RFC4;MYBL2;H2BC11;HMMR;CCNA2;GTSE1;SMC1B;GINS1;BIRC5;SPC24;E2F2;FEN1;SPC25;GINS4;GINS2;MSH4;BRCA2;MCM8;GINS3;CDC7;RAD51;NDC80;CDKN2B;KIF18A;BRIP1;UBE2S;H2AX,up in tumor,124
gs_ind_0,"Cell Cycle, Mitotic R-HSA-69278",103/496,2.178778470416853e-18,8.243045213077094e-16,3.0066497856352785,122.27373380116336,CDKN2A;CENPE;FBXL18;H2BC9;TK1;CENPK;CCNE1;RBL1;MAD2L1;SGO1;CDK1;H2BC17;GMNN;CENPA;KIF20A;POLA2;PLK4;BUB1;KIF23;ZWINT;CCNE2;CDC6;KNTC1;CDC25C;MCM4;POLD1;CCNB2;DYNC1I1;CDC45;DSN1;CEP131;CENPI;H2BC15;CDCA8;NEK2;TUBA3C;ESPL1;FOXM1;NCAPH;CCNB1;PRIM2;PTTG1;CENPM;TOP2A;CDCA5;MCM7;PLK1;SGO2;CDC25A;CENPU;CENPO;BUB1B;CENPL;E2F1;TPX2;SPDL1;AURKB;NCAPG;MCM6;CENPF;ERCC6L;ESCO2;INCENP;SKA1;CENPH;ORC6;CDC20;LIN9;AURKA;TYMS;MCM3;CDKN2C;MCM5;NUF2;RRM2;NCAPD2;CDT1;MCM10;UBE2C;KIF2C;PKMYT1;RFC4;MYBL2;H2BC11;HMMR;CCNA2;GTSE1;GINS1;BIRC5;SPC24;E2F2;FEN1;SPC25;GINS4;GINS2;MCM8;GINS3;CDC7;NDC80;CDKN2B;KIF18A;UBE2S;H2AX,up in tumor,103
gs_ind_0,Resolution Of Sister Chromatid Cohesion R-HSA-2500257,38/103,7.047810223905529e-16,1.999816151033194e-13,6.583695249388572,229.69620322255702,CENPL;CENPE;CENPK;SPDL1;AURKB;BIRC5;CENPF;SGO1;MAD2L1;CDK1;ERCC6L;SPC24;INCENP;DSN1;SKA1;CENPI;CENPH;CENPA;CDCA8;CDC20;SPC25;NUF2;CCNB1;BUB1;CENPM;ZWINT;CDCA5;KNTC1;KIF2C;CCNB2;PLK1;SGO2;NDC80;CENPU;CENPO;DYNC1I1;KIF18A;BUB1B,up in tumor,38
gs_ind_0,Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,34/90,1.0296445883038142e-14,2.337293215449658e-12,6.8273442264781306,219.88812270021728,CENPL;CENPE;CENPK;SPDL1;AURKB;BIRC5;CENPF;SGO1;MAD2L1;ERCC6L;SPC24;INCENP;DSN1;SKA1;CENPI;CENPH;CENPA;CDCA8;CDC20;SPC25;NUF2;BUB1;CENPM;ZWINT;KNTC1;KIF2C;PLK1;SGO2;NDC80;CENPU;CENPO;DYNC1I1;KIF18A;BUB1B,up in tumor,34
gs_ind_0,EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025,34/94,4.625780853869886e-14,8.750435448570535e-12,6.374686908843867,195.73186814173738,CENPL;CENPE;CENPK;SPDL1;AURKB;BIRC5;CENPF;SGO1;MAD2L1;ERCC6L;SPC24;INCENP;DSN1;SKA1;CENPI;CENPH;CENPA;CDCA8;CDC20;SPC25;NUF2;BUB1;CENPM;ZWINT;KNTC1;KIF2C;PLK1;SGO2;NDC80;CENPU;CENPO;DYNC1I1;KIF18A;BUB1B,up in tumor,34
gs_ind_0,Mitotic Spindle Checkpoint R-HSA-69618,36/107,1.087552447073788e-13,1.763388610612499e-11,5.709872560246625,170.4378487733676,CENPL;CENPE;CENPK;SPDL1;AURKB;BIRC5;CENPF;SGO1;MAD2L1;ERCC6L;SPC24;INCENP;DSN1;SKA1;CENPI;CENPH;CENPA;CDCA8;CDC20;SPC25;NUF2;BUB1;CENPM;ZWINT;KNTC1;UBE2C;KIF2C;PLK1;SGO2;NDC80;CENPU;CENPO;DYNC1I1;KIF18A;UBE2S;BUB1B,up in tumor,36
gs_ind_0,Unwinding Of DNA R-HSA-176974,11/11,1.3003285634553503e-12,1.8448411494022782e-10,254.6343263186663,6968.935151185246,GINS4;CDC45;GINS2;MCM7;MCM4;GINS1;MCM3;MCM6;MCM8;MCM5;GINS3,up in tumor,11
gs_ind_0,RHO GTPases Activate Formins R-HSA-5663220,35/115,6.46043897345481e-12,8.147331372079121e-10,4.927626248987307,126.96188610654863,CENPL;CENPE;CENPK;SPDL1;AURKB;BIRC5;CENPF;SGO1;MAD2L1;ERCC6L;SPC24;INCENP;DSN1;SKA1;CENPI;CENPH;CENPA;CDCA8;CDC20;SPC25;NUF2;BUB1;CENPM;ZWINT;KNTC1;KIF2C;PLK1;SGO2;NDC80;CENPU;CENPO;DYNC1I1;KIF18A;BUB1B;DIAPH3,up in tumor,35
gs_ind_0,Mitotic Prometaphase R-HSA-68877,44/183,9.242610985343345e-11,1.0490363468364694e-08,3.5718187594955144,82.5254851545464,CENPL;CENPE;CENPK;SPDL1;AURKB;NCAPG;BIRC5;CENPF;SGO1;MAD2L1;CDK1;ERCC6L;SPC24;INCENP;DSN1;SKA1;CEP131;CENPI;CENPH;CENPA;CDCA8;CDC20;NEK2;SPC25;NUF2;NCAPH;CCNB1;PLK4;BUB1;NCAPD2;CENPM;ZWINT;CDCA5;KNTC1;KIF2C;CCNB2;PLK1;SGO2;NDC80;CENPU;CENPO;DYNC1I1;KIF18A;BUB1B,up in tumor,44
